platform	source	api_name_status
fc	Don Doko Don (Japan).zip	rom_name_not_in_api
fc	Donald Land (Japan) (En).zip	rom_name_not_in_api
fc	Donkey Kong (World) (Rev 1).zip	rom_name_not_in_api
fc	Donkey Kong 3 (Japan).zip	rom_name_not_in_api
fc	Donkey Kong Jr. (World) (Rev 1).zip	rom_name_not_in_api
fc	Donkey Kong Jr. no Sansuu Asobi (Japan) (En).zip	rom_name_not_in_api
fc	Door Door (Japan) (En).zip	rom_name_not_in_api
fc	Doraemon - Giga Zombie no Gyakushuu (Japan).zip	rom_name_not_in_api
fc	Dough Boy (Japan) (En).zip	rom_name_not_in_api
fc	Downtown Special - Kunio-kun no Jidaigeki Da yo Zenin Shuugou! (Japan).zip	rom_name_not_in_api
fc	Dragon Ball 3 - Gokuu Den (Japan) (Rev 1).zip	rom_name_not_in_api
fc	Dragon Ball Z - Gekitou Tenkaichi Budoukai (Japan) (Datach).zip	rom_name_not_in_api
fc	Dragon Ball Z II - Gekishin Freeza!! (Japan) (Rev 1).zip	rom_name_not_in_api
fc	Dragon Buster II - Yami no Fuuin (Japan) (En).zip	rom_name_not_in_api
fc	Dragon Quest II - Akuryou no Kamigami (Japan).zip	rom_name_not_in_api
fc	Dragon Quest III - Soshite Densetsu e... (Japan).zip	rom_name_not_in_api
fc	Dragon Scroll - Yomigaerishi Maryuu (Japan).zip	rom_name_not_in_api
fc	Dragon Slayer IV - Drasle Family (Japan).zip	rom_name_not_in_api
fc	Druaga no Tou (Japan).zip	rom_name_not_in_api
fc	Duck Hunt (World).zip	rom_name_not_in_api
fc	DuckTales 2 (Japan).zip	rom_name_not_in_api
fc	Dynamite Batman (Japan) (En).zip	rom_name_not_in_api
fc	Dynamite Bowl (Japan) (En).zip	rom_name_not_in_api
fc	Eggerland - Meikyuu no Fukkatsu (Japan).zip	rom_name_not_in_api
fc	Egypt (Japan).zip	rom_name_not_in_api
fc	Erika to Satoru no Yume Bouken (Japan).zip	rom_name_not_in_api
fc	Erunaaku no Zaihou (Japan).zip	rom_name_not_in_api
fc	Esper Bouken Tai (Japan).zip	rom_name_not_in_api
fc	Exciting Boxing (Japan) (En).zip	rom_name_not_in_api
fc	Exciting Rally - World Rally Championship (Japan).zip	rom_name_not_in_api
fc	Exerion (Japan) (En).zip	rom_name_not_in_api
fc	Famicom Doubutsu Seitai Zukan! - Katte ni Shirokuma - Mori o Sukue no Maki! (Japan).zip	rom_name_not_in_api
fc	Famicom Jump - Eiyuu Retsuden (Japan).zip	rom_name_not_in_api
fc	Famicom Meijin Sen (Japan) (Rev 1).zip	rom_name_not_in_api
fc	Family BASIC (Japan) (v3.0).zip	rom_name_not_in_api
fc	Family Computer - Othello (Japan).zip	rom_name_not_in_api
fc	Family Pinball (Japan).zip	rom_name_not_in_api
fc	Family Quiz (Japan).zip	rom_name_not_in_api
fc	Family Trainer 1 - Athletic World (Japan) (Rev 1).zip	rom_name_not_in_api
