platform	source	reason
fc	Hebereke (Japan).zip	unmatched ROM
fc	Hector '87 (Japan) (En).zip	unmatched ROM
fc	Heisei Tensai Bakabon (Japan).zip	unmatched ROM
fc	Hello Kitty World (Japan).zip	unmatched ROM
fc	Hello Kitty no Ohanabatake (Japan).zip	unmatched ROM
fc	Heracles no Eikou II - Titan no Metsubou (Japan).zip	unmatched ROM
fc	Herakles no Eikou - Toujin Makyou Den (Japan).zip	unmatched ROM
fc	Hi no Tori - Houou Hen - Gaou no Bouken (Japan).zip	unmatched ROM
fc	Higemaru - Makai-jima - Nanatsu no Shima Daibouken (Japan) (Retro-Bit Generations).zip	unmatched ROM
fc	Highway Star (Japan) (En) (Famicom 3D System).zip	unmatched ROM
fc	Hikari no Senshi Foton - The Ultimate Game on Planet Earth (Japan).zip	unmatched ROM
fc	Hiryuu no Ken - Ougi no Sho (Japan).zip	unmatched ROM
fc	Hiryuu no Ken III - 5 Nin no Dragon (Japan).zip	unmatched ROM
fc	Hogan's Alley (World).zip	unmatched ROM
fc	Hokkaidou Rensa Satsujin - Okhotsk ni Kiyu (Japan).zip	unmatched ROM
fc	Hokuto no Ken 2 (Japan).zip	unmatched ROM
fc	Hokuto no Ken 3 - Shin Seiki Souzou Seiken Retsuden (Japan).zip	unmatched ROM
fc	Hokuto no Ken 4 - Shichisei Haken Den - Hokuto Shinken no Kanata e (Japan).zip	unmatched ROM
fc	Holy Diver (Japan) (En).zip	unmatched ROM
fc	Honoo no Toukyuuji - Dodge Danpei (Japan).zip	unmatched ROM
fc	Honoo no Toukyuuji - Dodge Danpei 2 (Japan).zip	unmatched ROM
fc	Hoshi o Miru Hito (Japan).zip	unmatched ROM
fc	Hottarman no Chitei Tanken (Japan).zip	unmatched ROM
fc	Hudson Hawk (Japan).zip	unmatched ROM
fc	Hyakkiyagyou (Japan).zip	unmatched ROM
fc	Hyokkori Hyoutan-jima - Nazo no Kaizokusen (Japan).zip	unmatched ROM
fc	Hyper Olympic (Japan) (En).zip	unmatched ROM
fc	Igo - Kyuu Roban Taikyoku (Japan).zip	unmatched ROM
fc	Igo Shinan '91 (Japan).zip	unmatched ROM
fc	Igo Shinan '92 (Japan).zip	unmatched ROM
fc	Igo Shinan '93 (Japan).zip	unmatched ROM
fc	Igo Shinan '94 (Japan).zip	unmatched ROM
fc	Igo Shinan (Japan).zip	unmatched ROM
fc	Ikari (Japan) (En).zip	unmatched ROM
fc	Ikari II - Dogosoken (Japan).zip	unmatched ROM
fc	Ike Ike! Nekketsu Hockey-bu - Subette Koronde Dairantou (Japan).zip	unmatched ROM
fc	Ikinari Musician (Japan) (En).zip	unmatched ROM
fc	Ikki (Japan) (En).zip	unmatched ROM
fc	Insector X (Japan).zip	unmatched ROM
fc	Itadaki Street - Watashi no Omise ni Yottette (Japan).zip	unmatched ROM
fc	J.League Super Top Players (Japan) (Datach).zip	unmatched ROM
fc	JJ - Tobidase Daisakusen Part 2 (Japan).zip	unmatched ROM
fc	Jajamaru no Daibouken (Japan).zip	unmatched ROM
fc	Jumpin' Kid - Jack to Mame no Ki Monogatari (Japan) (En).zip	unmatched ROM
fc	Juuouki (Japan) (En).zip	unmatched ROM
fc	Juuryoku Soukou Metal Storm (Japan).zip	unmatched ROM
fc	Juvei Quest (Japan) (Rev 1).zip	unmatched ROM
fc	Kage (Japan).zip	unmatched ROM
fc	Kaiketsu Yanchamaru 3 - Taiketsu! Zouringen (Japan).zip	unmatched ROM
fc	Kakefu-kun no Jump Tengoku - Speed Jigoku (Japan).zip	unmatched ROM
fc	Kame no Ongaeshi - Urashima Densetsu (Japan).zip	unmatched ROM
fc	Kamen Rider SD - Granshocker no Yabou (Japan).zip	unmatched ROM
fc	Karakuri Kengou Den Musashi Lord - Karakuribito Hashiru (Japan).zip	unmatched ROM
fc	Karaoke Studio Senyou Cassette - Top Hit 20 Vol. 1 (Japan).zip	unmatched ROM
fc	Karaoke Studio Senyou Cassette - Top Hit 20 Vol. 2 (Japan).zip	unmatched ROM
fc	Karateka (Japan) (En).zip	unmatched ROM
fc	Kawa no Nushi Tsuri (Japan).zip	unmatched ROM
fc	Kekkyoku Nankyoku Daibouken (Japan).zip	unmatched ROM
fc	Kero Kero Keroppi no Daibouken 2 - Donuts Ike wa Oosawagi!! (Japan).zip	unmatched ROM
fc	Keroppi to Keroriinu no Splash Bomb! (Japan).zip	unmatched ROM
fc	Ki no Bouken - The Quest of Ki (Japan).zip	unmatched ROM
fc	Kidou Senshi Z Gundam - Hot Scramble (Japan).zip	unmatched ROM
fc	King Kong 2 - Ikari no Megaton Punch (Japan).zip	unmatched ROM
fc	Kinnikuman - Muscle Tag Match (Japan) (Rev 1).zip	unmatched ROM
