status	local_id	rom	local_titles	official_title	genre	maker	releases	first_release_date	suggested_title	suggestion_score
official_exact	neo-mr-do-neomrdo	neomrdo.zip	ネオMr.Do! | Neo Mr. Do!	NEO Mr.DO!	アクション	ビスコ	ＭＶＳカートリッジ ：1997/06/26	1997-06-26		
official_exact	neo-turf-masters-big-tournament-golf-turfmast	turfmast.zip	ビッグトーナメントゴルフ | Neo Turf Masters / Big Tournament Golf	ビッグトーナメント ゴルフ	スポーツ	ナスカ	ＭＶＳカートリッジ ：1996/01/29 | ＮＥＯＧＥＯ ＲＯＭ：1996/03/01 | ＮＥＯＧＥＯ ＣＤ　：1996/05/03	1996-01-29		
official_exact	nightmare-in-the-dark-nitd	nitd.zip	ナイトメア・イン・ザ・ダーク | Nightmare in the Dark	ナイトメアインザダーク	ホラーアクション	ガバキング	ＭＶＳカートリッジ ：2001	2001		
official_exact	ninja-combat-ncombat	ncombat.zip	ニンジャコンバット | Ninja Combat	ニンジャコンバット	アクション	ADK	ＭＶＳカートリッジ ：1990/07/24 | ＮＥＯＧＥＯ ＲＯＭ：1991/07/01 | ＮＥＯＧＥＯ ＣＤ　：1994/10/31	1990-07-24		
official_exact	ninja-commando-ncommand	ncommand.zip	ニンジャコマンドー | Ninja Commando	ニンジャコマンドー	シューティング	ADK	ＭＶＳカートリッジ ：1992/04/30 | ＮＥＯＧＥＯ ＲＯＭ：1992/05/29 | ＮＥＯＧＥＯ ＣＤ　：1994/10/31	1992-04-30		
official_alias	ninja-master-s-haoh-ninpo-cho-ninjamas	ninjamas.zip	ニンジャマスターズ 覇王忍法帖 | Ninja Master's - Haoh-ninpo-cho | NINJA MASTER'S ～霸王忍法帖～	NINJA MASTER'S ～霸王忍法帖～	格闘アクション	ADK	ＭＶＳカートリッジ ：1996/05/27 | ＮＥＯＧＥＯ ＲＯＭ：1996/06/28 | ＮＥＯＧＥＯ ＣＤ　：1996/09/27	1996-05-27		
official_exact	over-top-overtop	overtop.zip	オーバートップ | Over Top	オーバートップ	レース	ADK	ＭＶＳカートリッジ ：1996/04/26 | ＮＥＯＧＥＯ ＲＯＭ：1996/06/07 | ＮＥＯＧＥＯ ＣＤ　：1996/07/26	1996-04-26		
official_alias	panic-bomber-panicbom	panicbom.zip	ぱにっくボンバー | Panic Bomber | ボンバーマン　パニックボンバー	ボンバーマン　パニックボンバー	パズル	エイティング	ＭＶＳカートリッジ ：1995/01/18	1995-01-18		
official_alias	pleasure-goal-futsal-5-on-5-mini-soccer-pgoal	pgoal.zip	フットサル 5 ON 5 ミニサッカー | Pleasure Goal / Futsal - 5 on 5 Mini Soccer | FUTSAL 5 ON 5 MINI SOCCER	FUTSAL 5 ON 5 MINI SOCCER	スポーツ	ザウルス	ＮＥＯＧＥＯ ＣＤ　：1996/07/19	1996-07-19		
official_alias	pochi-and-nyaa-pnyaa	pnyaa.zip	ぽちとにゃ〜 | Pochi and Nyaa | ポチッとにゃ～	ポチッとにゃ～	パズル	アイキ	ＭＶＳカートリッジ ：2003/12/24	2003-12-24		
review_local_only	pop-n-bounce-gapporin-popbounc	popbounc.zip	ガッポリン | Pop 'n Bounce / Gapporin							
official_exact	power-spikes-ii-pspikes2	pspikes2.zip	パワースパイクスII | Power Spikes II	パワースパイクスII	スポーツ	ビデオシステム	ＭＶＳカートリッジ ：1994/10/19 | ＮＥＯＧＥＯ ＣＤ　：1995/03/18	1994-10-19		
official_exact	prehistoric-isle-2-preisle2	preisle2.zip	原始島2 | Prehistoric Isle 2	原始島2	シューティング	夢工房	ＭＶＳカートリッジ ：1999/09/27	1999-09-27		
