platform	source	target	reason
gb	Goukaku Boy Series - Shikakui Atama o Maruku Suru - Sansuu Battle Hen (Japan) (Imagineer).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/合格ボーイシリーズ 四角い頭を丸くする 算数バトル編 (IE Institute).zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/合格ボーイシリーズ 四角い頭を丸くする 算数バトル編 (IE Institute).zip
gb	Goukaku Boy Series - Shikakui Atama o Maruku Suru - Shakai Battle Hen (Japan) (IE Institute).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/合格ボーイシリーズ 四角い頭を丸くする 社会バトル編 (IE Institute).zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/合格ボーイシリーズ 四角い頭を丸くする 社会バトル編 (IE Institute).zip
gb	Goukaku Boy Series - Shikakui Atama o Maruku Suru - Shakai Battle Hen (Japan) (Imagineer).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/合格ボーイシリーズ 四角い頭を丸くする 社会バトル編 (IE Institute).zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/合格ボーイシリーズ 四角い頭を丸くする 社会バトル編 (IE Institute).zip
gb	Home Alone (Japan).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/同名映画.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/同名映画.zip
gb	Hook (Japan).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/同名映画.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/同名映画.zip
gb	Hudson Hawk (Japan).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/同名映画.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/同名映画.zip
gb	Mickey Mouse (Japan) (En).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/ミッキーマウスII.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/ミッキーマウスII.zip
gb	Mickey Mouse II (Japan) (En).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/ミッキーマウスII.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/ミッキーマウスII.zip
gb	Nettou World Heroes 2 Jet (Japan) (Rev 1) (SGB Enhanced).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/熱闘 Deadhead Fighters ワールドヒーローズ.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/熱闘 Deadhead Fighters ワールドヒーローズ.zip
gb	Nettou World Heroes 2 Jet (Japan) (SGB Enhanced).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/熱闘 Deadhead Fighters ワールドヒーローズ.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/熱闘 Deadhead Fighters ワールドヒーローズ.zip
gb	Nintama Rantarou GB (Japan) (SGB Enhanced).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/忍たま乱太郎GB.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/忍たま乱太郎GB.zip
gb	Super Donkey Kong GB (Japan) (SGB Enhanced).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/スーパードンキーコングGB.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/スーパードンキーコングGB.zip
gb	Teenage Mutant Ninja Turtles (Japan).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/同名アニメ.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/同名アニメ.zip
gb	Tiny Toon Adventures (Japan).zip	/home/komagata/UnuOSRoms/ゲームボーイ (GB)/同名アニメ.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイ (GB)/同名アニメ.zip
gbc	From TV Animation One Piece - Yume no Luffy Kaizokudan Tanjou! (Japan) (Rev 1) (SGB Enhanced) (GB Compatible).zip	/home/komagata/UnuOSRoms/ゲームボーイカラー (GBC)/ワンピース 夢のルフィ海賊団誕生!.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイカラー (GBC)/ワンピース 夢のルフィ海賊団誕生!.zip
gbc	From TV Animation One Piece - Yume no Luffy Kaizokudan Tanjou! (Japan) (SGB Enhanced) (GB Compatible).zip	/home/komagata/UnuOSRoms/ゲームボーイカラー (GBC)/ワンピース 夢のルフィ海賊団誕生!.zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイカラー (GBC)/ワンピース 夢のルフィ海賊団誕生!.zip
gbc	Fushigi no Dungeon - Fuurai no Shiren GB 2 - Sabaku no Majou (Japan) (AFMJ).zip	/home/komagata/UnuOSRoms/ゲームボーイカラー (GBC)/不思議のダンジョン 風来のシレンGB2 (AFMJ).zip	multiple sources map to same target /home/komagata/UnuOSRoms/ゲームボーイカラー (GBC)/不思議のダンジョン 風来のシレンGB2 (AFMJ).zip
